Day of Week Ending,Lineage Bin,Modeltype,Usa Or Hhsregion,Variant,95CI,Share
"December 25, 2021",VOC,weighted,5,B.1.1.529,53.5-67.6%,0.607022107
"January 1, 2022",VOC,weighted,5,B.1.1.529,81.3-86.5%,0.840450227
"January 8, 2022",VOC,weighted,5,B.1.1.529,88.1-93.0%,0.907548487
"January 15, 2022",VOC,weighted,5,B.1.1.529,95.5-97.1%,0.963991463
"January 22, 2022",VOC,weighted,5,B.1.1.529,97.6-98.7%,0.982249260
"January 29, 2022",VOC,weighted,5,B.1.1.529,98.1-99.0%,0.985879004
"February 5, 2022",VOC,weighted,5,B.1.1.529,98.3-99.3%,0.988626719
"February 12, 2022",VOC,weighted,5,B.1.1.529,97.1-98.2%,0.976946115
"February 19, 2022",VOC,weighted,5,B.1.1.529,95.3-97.1%,0.962427378
"February 26, 2022",VOC,weighted,5,B.1.1.529,90.5-94.9%,0.929256618
"March 5, 2022",VOC,weighted,5,B.1.1.529,83.4-87.6%,0.856125832
"March 12, 2022",VOC,weighted,5,B.1.1.529,71.0-80.4%,0.759496987
"March 19, 2022",VOC,weighted,5,B.1.1.529,56.4-65.2%,0.608311296
"March 26, 2022",VOC,weighted,5,B.1.1.529,37.0-46.4%,0.416623533
"April 2, 2022",VOC,weighted,5,B.1.1.529,22.4-35.2%,0.284681886
"April 9, 2022",VOC,weighted,5,B.1.1.529,11.9-15.9%,0.137996286
"April 16, 2022",VOC,weighted,5,B.1.1.529,4.1-6.5%,0.052087314
"April 23, 2022",VOC,weighted,5,B.1.1.529,2.3-6.4%,0.040006809
"May 8, 2021",VOC,weighted,5,BA.2,NA,0
"May 15, 2021",VOC,weighted,5,BA.2,NA,0
"May 22, 2021",VOC,weighted,5,BA.2,NA,0
"May 29, 2021",VOC,weighted,5,BA.2,NA,0
"June 5, 2021",VOC,weighted,5,BA.2,NA,0
"June 12, 2021",VOC,weighted,5,BA.2,NA,0
"June 19, 2021",VOC,weighted,5,BA.2,NA,0
"June 26, 2021",VOC,weighted,5,BA.2,NA,0
"July 3, 2021",VOC,weighted,5,BA.2,NA,0
"July 10, 2021",VOC,weighted,5,BA.2,NA,0
"July 17, 2021",VOC,weighted,5,BA.2,NA,0
"July 24, 2021",VOC,weighted,5,BA.2,NA,0
"July 31, 2021",VOC,weighted,5,BA.2,NA,0
"August 7, 2021",VOC,weighted,5,BA.2,NA,0
"August 14, 2021",VOC,weighted,5,BA.2,NA,0
"August 21, 2021",VOC,weighted,5,BA.2,NA,0
"August 28, 2021",VOC,weighted,5,BA.2,NA,0
"September 4, 2021",VOC,weighted,5,BA.2,NA,0
"September 11, 2021",VOC,weighted,5,BA.2,NA,0
"September 18, 2021",VOC,weighted,5,BA.2,NA,0
"September 25, 2021",VOC,weighted,5,BA.2,NA,0
"October 2, 2021",VOC,weighted,5,BA.2,NA,0
"October 9, 2021",VOC,weighted,5,BA.2,NA,0
"October 16, 2021",VOC,weighted,5,BA.2,NA,0
"October 23, 2021",VOC,weighted,5,BA.2,NA,0
"October 30, 2021",VOC,weighted,5,BA.2,NA,0
"November 6, 2021",VOC,weighted,5,BA.2,NA,0
"November 13, 2021",VOC,weighted,5,BA.2,NA,0
"November 20, 2021",VOC,weighted,5,BA.2,NA,0
"November 27, 2021",VOC,weighted,5,BA.2,NA,0
"December 4, 2021",VOC,weighted,5,BA.2,NA,0
"December 11, 2021",VOC,weighted,5,BA.2,NA,0
"December 18, 2021",VOC,weighted,5,BA.2,NA,0
"December 25, 2021",VOC,weighted,5,BA.2,0.0-0.1%,0.000157223
"January 1, 2022",VOC,weighted,5,BA.2,NA,0
"January 8, 2022",VOC,weighted,5,BA.2,0.0-0.2%,0.000523813
"January 15, 2022",VOC,weighted,5,BA.2,0.1-0.5%,0.001985593
"January 22, 2022",VOC,weighted,5,BA.2,0.1-0.5%,0.002485509
"January 29, 2022",VOC,weighted,5,BA.2,0.3-1.1%,0.005927605
"February 5, 2022",VOC,weighted,5,BA.2,0.5-1.1%,0.007765535
"February 12, 2022",VOC,weighted,5,BA.2,1.5-2.6%,0.020026406
"February 19, 2022",VOC,weighted,5,BA.2,2.7-4.5%,0.035339482
"February 26, 2022",VOC,weighted,5,BA.2,4.4-8.9%,0.063754603
"March 5, 2022",VOC,weighted,5,BA.2,12.0-16.2%,0.140464708
"March 12, 2022",VOC,weighted,5,BA.2,19.0-28.5%,0.234855980
"March 19, 2022",VOC,weighted,5,BA.2,34.0-42.6%,0.382479578
"March 26, 2022",VOC,weighted,5,BA.2,51.6-61.3%,0.564503670
"April 2, 2022",VOC,weighted,5,BA.2,60.9-73.1%,0.671948552
"April 9, 2022",VOC,weighted,5,BA.2,76.2-80.2%,0.782505095
"April 16, 2022",VOC,weighted,5,BA.2,76.8-82.8%,0.799258590
"April 23, 2022",VOC,weighted,5,BA.2,72.5-82.7%,0.778776824
"May 8, 2021",VOC,weighted,5,BA.2.12.1,NA,0
"May 15, 2021",VOC,weighted,5,BA.2.12.1,NA,0
"May 22, 2021",VOC,weighted,5,BA.2.12.1,NA,0
"May 29, 2021",VOC,weighted,5,BA.2.12.1,NA,0
"June 5, 2021",VOC,weighted,5,BA.2.12.1,NA,0
"June 12, 2021",VOC,weighted,5,BA.2.12.1,NA,0
"June 19, 2021",VOC,weighted,5,BA.2.12.1,NA,0
"June 26, 2021",VOC,weighted,5,BA.2.12.1,NA,0
"July 3, 2021",VOC,weighted,5,BA.2.12.1,NA,0
"July 10, 2021",VOC,weighted,5,BA.2.12.1,NA,0
"July 17, 2021",VOC,weighted,5,BA.2.12.1,NA,0
"July 24, 2021",VOC,weighted,5,BA.2.12.1,NA,0
"July 31, 2021",VOC,weighted,5,BA.2.12.1,NA,0
"August 7, 2021",VOC,weighted,5,BA.2.12.1,NA,0
"August 14, 2021",VOC,weighted,5,BA.2.12.1,NA,0
"August 21, 2021",VOC,weighted,5,BA.2.12.1,NA,0
"August 28, 2021",VOC,weighted,5,BA.2.12.1,NA,0
"September 4, 2021",VOC,weighted,5,BA.2.12.1,NA,0
"September 11, 2021",VOC,weighted,5,BA.2.12.1,NA,0
"September 18, 2021",VOC,weighted,5,BA.2.12.1,NA,0
"September 25, 2021",VOC,weighted,5,BA.2.12.1,NA,0
"October 2, 2021",VOC,weighted,5,BA.2.12.1,NA,0
"October 9, 2021",VOC,weighted,5,BA.2.12.1,NA,0
"October 16, 2021",VOC,weighted,5,BA.2.12.1,NA,0
"October 23, 2021",VOC,weighted,5,BA.2.12.1,NA,0
"October 30, 2021",VOC,weighted,5,BA.2.12.1,NA,0
"November 6, 2021",VOC,weighted,5,BA.2.12.1,NA,0
"November 13, 2021",VOC,weighted,5,BA.2.12.1,NA,0
"November 20, 2021",VOC,weighted,5,BA.2.12.1,NA,0
"November 27, 2021",VOC,weighted,5,BA.2.12.1,NA,0
"December 4, 2021",VOC,weighted,5,BA.2.12.1,NA,0
"December 11, 2021",VOC,weighted,5,BA.2.12.1,NA,0
"December 18, 2021",VOC,weighted,5,BA.2.12.1,NA,0
"December 25, 2021",VOC,weighted,5,BA.2.12.1,NA,0
"January 1, 2022",VOC,weighted,5,BA.2.12.1,NA,0
"January 8, 2022",VOC,weighted,5,BA.2.12.1,NA,0
"January 15, 2022",VOC,weighted,5,BA.2.12.1,NA,0
"January 22, 2022",VOC,weighted,5,BA.2.12.1,NA,0
"January 29, 2022",VOC,weighted,5,BA.2.12.1,NA,0
"February 5, 2022",VOC,weighted,5,BA.2.12.1,NA,0
"February 12, 2022",VOC,weighted,5,BA.2.12.1,NA,0
"February 19, 2022",VOC,weighted,5,BA.2.12.1,NA,0
"February 26, 2022",VOC,weighted,5,BA.2.12.1,0.0-0.3%,0.000561905
"March 5, 2022",VOC,weighted,5,BA.2.12.1,NA,0
"March 12, 2022",VOC,weighted,5,BA.2.12.1,NA,0
"March 19, 2022",VOC,weighted,5,BA.2.12.1,0.2-0.9%,0.004606463
"March 26, 2022",VOC,weighted,5,BA.2.12.1,0.6-2.4%,0.012936620
"April 2, 2022",VOC,weighted,5,BA.2.12.1,2.9-5.7%,0.041346692
"April 9, 2022",VOC,weighted,5,BA.2.12.1,5.7-10.3%,0.077871889
"April 16, 2022",VOC,weighted,5,BA.2.12.1,11.6-17.8%,0.144883946
"April 23, 2022",VOC,weighted,5,BA.2.12.1,13.5-22.7%,0.177378476
"May 8, 2021",VOC,weighted,6,B.1.1.529,NA,0
"May 15, 2021",VOC,weighted,6,B.1.1.529,NA,0
"May 22, 2021",VOC,weighted,6,B.1.1.529,NA,0
"May 29, 2021",VOC,weighted,6,B.1.1.529,NA,0
"June 5, 2021",VOC,weighted,6,B.1.1.529,NA,0
"June 12, 2021",VOC,weighted,6,B.1.1.529,NA,0
"June 19, 2021",VOC,weighted,6,B.1.1.529,NA,0
"June 26, 2021",VOC,weighted,6,B.1.1.529,NA,0
"July 3, 2021",VOC,weighted,6,B.1.1.529,NA,0
"July 10, 2021",VOC,weighted,6,B.1.1.529,NA,0
"July 17, 2021",VOC,weighted,6,B.1.1.529,NA,0
"July 24, 2021",VOC,weighted,6,B.1.1.529,NA,0
"July 31, 2021",VOC,weighted,6,B.1.1.529,NA,0
"August 7, 2021",VOC,weighted,6,B.1.1.529,NA,0
"August 14, 2021",VOC,weighted,6,B.1.1.529,NA,0
"August 21, 2021",VOC,weighted,6,B.1.1.529,NA,0
"August 28, 2021",VOC,weighted,6,B.1.1.529,NA,0
"September 4, 2021",VOC,weighted,6,B.1.1.529,NA,0
"September 11, 2021",VOC,weighted,6,B.1.1.529,NA,0
"September 18, 2021",VOC,weighted,6,B.1.1.529,NA,0
"September 25, 2021",VOC,weighted,6,B.1.1.529,NA,0
"October 2, 2021",VOC,weighted,6,B.1.1.529,0.0-2.8%,0.004684037
"October 9, 2021",VOC,weighted,6,B.1.1.529,0.0-0.8%,0.001230274
"October 16, 2021",VOC,weighted,6,B.1.1.529,NA,0
"October 23, 2021",VOC,weighted,6,B.1.1.529,NA,0
"October 30, 2021",VOC,weighted,6,B.1.1.529,NA,0
"November 6, 2021",VOC,weighted,6,B.1.1.529,NA,0
"November 13, 2021",VOC,weighted,6,B.1.1.529,NA,0
"November 20, 2021",VOC,weighted,6,B.1.1.529,NA,0
"November 27, 2021",VOC,weighted,6,B.1.1.529,NA,0
"December 4, 2021",VOC,weighted,6,B.1.1.529,0.6-4.7%,0.020073144
"December 11, 2021",VOC,weighted,6,B.1.1.529,11.8-33.5%,0.211816803
"December 18, 2021",VOC,weighted,6,B.1.1.529,44.4-75.5%,0.607614279
"December 25, 2021",VOC,weighted,6,B.1.1.529,74.4-91.5%,0.842686117
"January 1, 2022",VOC,weighted,6,B.1.1.529,89.0-96.6%,0.935009301
"January 8, 2022",VOC,weighted,6,B.1.1.529,94.8-97.9%,0.965853989
"January 15, 2022",VOC,weighted,6,B.1.1.529,97.2-99.4%,0.985824049
"January 22, 2022",VOC,weighted,6,B.1.1.529,98.6-99.5%,0.991176724
"January 29, 2022",VOC,weighted,6,B.1.1.529,98.4-99.4%,0.989702880
"February 5, 2022",VOC,weighted,6,B.1.1.529,98.7-99.3%,0.990727544
"February 12, 2022",VOC,weighted,6,B.1.1.529,97.9-98.7%,0.983606577
"February 19, 2022",VOC,weighted,6,B.1.1.529,93.9-98.0%,0.963281393
"February 26, 2022",VOC,weighted,6,B.1.1.529,90.2-96.3%,0.937874138
"March 5, 2022",VOC,weighted,6,B.1.1.529,83.2-91.8%,0.879881978
"March 12, 2022",VOC,weighted,6,B.1.1.529,70.1-89.1%,0.809183180
"March 19, 2022",VOC,weighted,6,B.1.1.529,54.1-71.8%,0.633136332
"March 26, 2022",VOC,weighted,6,B.1.1.529,24.8-50.5%,0.369943768
"April 2, 2022",VOC,weighted,6,B.1.1.529,15.2-27.0%,0.206353351
"April 9, 2022",VOC,weighted,6,B.1.1.529,10.1-25.0%,0.165998444
"April 16, 2022",VOC,weighted,6,B.1.1.529,1.8-20.9%,0.079529360
"April 23, 2022",VOC,weighted,6,B.1.1.529,0.0-12.4%,0.007595624
"May 8, 2021",VOC,weighted,6,BA.2,NA,0
"May 15, 2021",VOC,weighted,6,BA.2,NA,0
"May 22, 2021",VOC,weighted,6,BA.2,NA,0
"May 29, 2021",VOC,weighted,6,BA.2,NA,0
"June 5, 2021",VOC,weighted,6,BA.2,NA,0
"June 12, 2021",VOC,weighted,6,BA.2,NA,0
"June 19, 2021",VOC,weighted,6,BA.2,NA,0
"June 26, 2021",VOC,weighted,6,BA.2,NA,0
"July 3, 2021",VOC,weighted,6,BA.2,NA,0
"July 10, 2021",VOC,weighted,6,BA.2,NA,0
"July 17, 2021",VOC,weighted,6,BA.2,NA,0
"July 24, 2021",VOC,weighted,6,BA.2,NA,0
"July 31, 2021",VOC,weighted,6,BA.2,NA,0
"August 7, 2021",VOC,weighted,6,BA.2,NA,0
"August 14, 2021",VOC,weighted,6,BA.2,NA,0
"August 21, 2021",VOC,weighted,6,BA.2,NA,0
"August 28, 2021",VOC,weighted,6,BA.2,NA,0
"September 4, 2021",VOC,weighted,6,BA.2,NA,0
"September 11, 2021",VOC,weighted,6,BA.2,NA,0
"September 18, 2021",VOC,weighted,6,BA.2,NA,0
"September 25, 2021",VOC,weighted,6,BA.2,NA,0
"October 2, 2021",VOC,weighted,6,BA.2,NA,0
"October 9, 2021",VOC,weighted,6,BA.2,NA,0
"October 16, 2021",VOC,weighted,6,BA.2,NA,0
"October 23, 2021",VOC,weighted,6,BA.2,NA,0
"October 30, 2021",VOC,weighted,6,BA.2,NA,0
"November 6, 2021",VOC,weighted,6,BA.2,NA,0
"November 13, 2021",VOC,weighted,6,BA.2,NA,0
"November 20, 2021",VOC,weighted,6,BA.2,NA,0
"November 27, 2021",VOC,weighted,6,BA.2,NA,0
"December 4, 2021",VOC,weighted,6,BA.2,NA,0
"December 11, 2021",VOC,weighted,6,BA.2,NA,0
"December 18, 2021",VOC,weighted,6,BA.2,NA,0
"December 25, 2021",VOC,weighted,6,BA.2,NA,0
"January 1, 2022",VOC,weighted,6,BA.2,NA,0
"January 8, 2022",VOC,weighted,6,BA.2,0.0-0.2%,0.001061385
"January 15, 2022",VOC,weighted,6,BA.2,0.1-0.4%,0.001612209
"January 22, 2022",VOC,weighted,6,BA.2,0.1-0.6%,0.002560902
"January 29, 2022",VOC,weighted,6,BA.2,0.3-0.8%,0.005395416
"February 5, 2022",VOC,weighted,6,BA.2,0.5-1.1%,0.007705220
"February 12, 2022",VOC,weighted,6,BA.2,1.1-2.1%,0.015251961
"February 19, 2022",VOC,weighted,6,BA.2,2.0-5.7%,0.034753859
"February 26, 2022",VOC,weighted,6,BA.2,3.2-9.6%,0.058298286
"March 5, 2022",VOC,weighted,6,BA.2,8.1-16.7%,0.118876733
"March 12, 2022",VOC,weighted,6,BA.2,10.9-29.5%,0.189434066
"March 19, 2022",VOC,weighted,6,BA.2,28.2-45.9%,0.366863698
"March 26, 2022",VOC,weighted,6,BA.2,49.3-74.9%,0.627733588
"April 2, 2022",VOC,weighted,6,BA.2,71.9-83.1%,0.778672576
"April 9, 2022",VOC,weighted,6,BA.2,71.6-85.4%,0.790846884
"April 16, 2022",VOC,weighted,6,BA.2,75.5-90.4%,0.839459062
"April 23, 2022",VOC,weighted,6,BA.2,66.4-94.4%,0.837242067
"May 8, 2021",VOC,weighted,6,BA.2.12.1,NA,0
"May 15, 2021",VOC,weighted,6,BA.2.12.1,NA,0
"May 22, 2021",VOC,weighted,6,BA.2.12.1,NA,0
"May 29, 2021",VOC,weighted,6,BA.2.12.1,NA,0
"June 5, 2021",VOC,weighted,6,BA.2.12.1,NA,0
"June 12, 2021",VOC,weighted,6,BA.2.12.1,NA,0
"June 19, 2021",VOC,weighted,6,BA.2.12.1,NA,0
"June 26, 2021",VOC,weighted,6,BA.2.12.1,NA,0
"July 3, 2021",VOC,weighted,6,BA.2.12.1,NA,0
"July 10, 2021",VOC,weighted,6,BA.2.12.1,NA,0
"July 17, 2021",VOC,weighted,6,BA.2.12.1,NA,0
"July 24, 2021",VOC,weighted,6,BA.2.12.1,NA,0
"July 31, 2021",VOC,weighted,6,BA.2.12.1,NA,0
"August 7, 2021",VOC,weighted,6,BA.2.12.1,NA,0
"August 14, 2021",VOC,weighted,6,BA.2.12.1,NA,0
"August 21, 2021",VOC,weighted,6,BA.2.12.1,NA,0
"August 28, 2021",VOC,weighted,6,BA.2.12.1,NA,0
"September 4, 2021",VOC,weighted,6,BA.2.12.1,NA,0
"September 11, 2021",VOC,weighted,6,BA.2.12.1,NA,0
"September 18, 2021",VOC,weighted,6,BA.2.12.1,NA,0
"September 25, 2021",VOC,weighted,6,BA.2.12.1,NA,0
"October 2, 2021",VOC,weighted,6,BA.2.12.1,NA,0
"October 9, 2021",VOC,weighted,6,BA.2.12.1,NA,0
"October 16, 2021",VOC,weighted,6,BA.2.12.1,NA,0
"October 23, 2021",VOC,weighted,6,BA.2.12.1,NA,0
"October 30, 2021",VOC,weighted,6,BA.2.12.1,NA,0
"November 6, 2021",VOC,weighted,6,BA.2.12.1,NA,0
"November 13, 2021",VOC,weighted,6,BA.2.12.1,NA,0
"November 20, 2021",VOC,weighted,6,BA.2.12.1,NA,0
"November 27, 2021",VOC,weighted,6,BA.2.12.1,NA,0
"December 4, 2021",VOC,weighted,6,BA.2.12.1,NA,0
"December 11, 2021",VOC,weighted,6,BA.2.12.1,NA,0
"December 18, 2021",VOC,weighted,6,BA.2.12.1,NA,0
"December 25, 2021",VOC,weighted,6,BA.2.12.1,NA,0
"January 1, 2022",VOC,weighted,6,BA.2.12.1,NA,0
"January 8, 2022",VOC,weighted,6,BA.2.12.1,NA,0
"January 15, 2022",VOC,weighted,6,BA.2.12.1,NA,0
"January 22, 2022",VOC,weighted,6,BA.2.12.1,NA,0
"January 29, 2022",VOC,weighted,6,BA.2.12.1,NA,0
"February 5, 2022",VOC,weighted,6,BA.2.12.1,NA,0
"February 12, 2022",VOC,weighted,6,BA.2.12.1,NA,0
"February 19, 2022",VOC,weighted,6,BA.2.12.1,NA,0
"February 26, 2022",VOC,weighted,6,BA.2.12.1,NA,0
"March 5, 2022",VOC,weighted,6,BA.2.12.1,NA,0
"March 12, 2022",VOC,weighted,6,BA.2.12.1,NA,0
"March 19, 2022",VOC,weighted,6,BA.2.12.1,NA,0
"March 26, 2022",VOC,weighted,6,BA.2.12.1,0.0-0.7%,0.001161325
"April 2, 2022",VOC,weighted,6,BA.2.12.1,0.7-2.9%,0.014974061
"April 9, 2022",VOC,weighted,6,BA.2.12.1,2.5-5.5%,0.037972126
"April 16, 2022",VOC,weighted,6,BA.2.12.1,5.6-9.9%,0.075726166
"April 23, 2022",VOC,weighted,6,BA.2.12.1,6.2-30.2%,0.155162290
"May 8, 2021",VOC,weighted,7,B.1.1.529,NA,0
"May 15, 2021",VOC,weighted,7,B.1.1.529,NA,0
"May 22, 2021",VOC,weighted,7,B.1.1.529,NA,0
"May 29, 2021",VOC,weighted,7,B.1.1.529,NA,0
"June 5, 2021",VOC,weighted,7,B.1.1.529,NA,0
"June 12, 2021",VOC,weighted,7,B.1.1.529,NA,0
"June 19, 2021",VOC,weighted,7,B.1.1.529,NA,0
"June 26, 2021",VOC,weighted,7,B.1.1.529,NA,0
"July 3, 2021",VOC,weighted,7,B.1.1.529,NA,0
"July 10, 2021",VOC,weighted,7,B.1.1.529,NA,0
"July 17, 2021",VOC,weighted,7,B.1.1.529,NA,0
"July 24, 2021",VOC,weighted,7,B.1.1.529,NA,0
"July 31, 2021",VOC,weighted,7,B.1.1.529,NA,0
"August 7, 2021",VOC,weighted,7,B.1.1.529,NA,0
"August 14, 2021",VOC,weighted,7,B.1.1.529,NA,0
"August 21, 2021",VOC,weighted,7,B.1.1.529,NA,0
"August 28, 2021",VOC,weighted,7,B.1.1.529,NA,0
"September 4, 2021",VOC,weighted,7,B.1.1.529,NA,0
"September 11, 2021",VOC,weighted,7,B.1.1.529,NA,0
"September 18, 2021",VOC,weighted,7,B.1.1.529,NA,0
"September 25, 2021",VOC,weighted,7,B.1.1.529,NA,0
"October 2, 2021",VOC,weighted,7,B.1.1.529,NA,0
"October 9, 2021",VOC,weighted,7,B.1.1.529,NA,0
"October 16, 2021",VOC,weighted,7,B.1.1.529,NA,0
"October 23, 2021",VOC,weighted,7,B.1.1.529,NA,0
"October 30, 2021",VOC,weighted,7,B.1.1.529,NA,0
"November 6, 2021",VOC,weighted,7,B.1.1.529,NA,0
"November 13, 2021",VOC,weighted,7,B.1.1.529,NA,0
"November 20, 2021",VOC,weighted,7,B.1.1.529,NA,0
"November 27, 2021",VOC,weighted,7,B.1.1.529,0.0-0.7%,0.001353635
"December 4, 2021",VOC,weighted,7,B.1.1.529,0.0-0.9%,0.002743064
"December 11, 2021",VOC,weighted,7,B.1.1.529,0.4-2.2%,0.010686542
"December 18, 2021",VOC,weighted,7,B.1.1.529,5.8-19.1%,0.111990899
"December 25, 2021",VOC,weighted,7,B.1.1.529,31.6-44.3%,0.378177404
"January 1, 2022",VOC,weighted,7,B.1.1.529,61.3-76.2%,0.691179693
"January 8, 2022",VOC,weighted,7,B.1.1.529,84.9-93.1%,0.894810259
"January 15, 2022",VOC,weighted,7,B.1.1.529,94.5-98.0%,0.965696990
"January 22, 2022",VOC,weighted,7,B.1.1.529,95.8-98.2%,0.972035944
"January 29, 2022",VOC,weighted,7,B.1.1.529,98.4-99.4%,0.989653170
"February 5, 2022",VOC,weighted,7,B.1.1.529,98.1-99.3%,0.988013625
"February 12, 2022",VOC,weighted,7,B.1.1.529,96.7-99.3%,0.983838081
"February 19, 2022",VOC,weighted,7,B.1.1.529,94.0-99.3%,0.975011528
"February 26, 2022",VOC,weighted,7,B.1.1.529,89.2-97.3%,0.941553771
"March 5, 2022",VOC,weighted,7,B.1.1.529,88.2-95.3%,0.922861695
"March 12, 2022",VOC,weighted,7,B.1.1.529,76.1-90.0%,0.839236140
"March 19, 2022",VOC,weighted,7,B.1.1.529,57.5-86.1%,0.735925853
"March 26, 2022",VOC,weighted,7,B.1.1.529,55.0-75.3%,0.656491399
"April 2, 2022",VOC,weighted,7,B.1.1.529,26.4-38.9%,0.324480802
"April 9, 2022",VOC,weighted,7,B.1.1.529,7.3-14.9%,0.106582351
"April 16, 2022",VOC,weighted,7,B.1.1.529,7.8-15.2%,0.111148857
"April 23, 2022",VOC,weighted,7,B.1.1.529,0.4-30.8%,0.074772082
"May 8, 2021",VOC,weighted,7,BA.2,NA,0
"May 15, 2021",VOC,weighted,7,BA.2,NA,0
"May 22, 2021",VOC,weighted,7,BA.2,NA,0
"May 29, 2021",VOC,weighted,7,BA.2,NA,0
"June 5, 2021",VOC,weighted,7,BA.2,NA,0
"June 12, 2021",VOC,weighted,7,BA.2,NA,0
"June 19, 2021",VOC,weighted,7,BA.2,NA,0
"June 26, 2021",VOC,weighted,7,BA.2,NA,0
"July 3, 2021",VOC,weighted,7,BA.2,NA,0
"July 10, 2021",VOC,weighted,7,BA.2,NA,0
"July 17, 2021",VOC,weighted,7,BA.2,NA,0
"July 24, 2021",VOC,weighted,7,BA.2,NA,0
"July 31, 2021",VOC,weighted,7,BA.2,NA,0
"August 7, 2021",VOC,weighted,7,BA.2,NA,0
"August 14, 2021",VOC,weighted,7,BA.2,NA,0
"August 21, 2021",VOC,weighted,7,BA.2,NA,0
"August 28, 2021",VOC,weighted,7,BA.2,NA,0
"September 4, 2021",VOC,weighted,7,BA.2,NA,0
"September 11, 2021",VOC,weighted,7,BA.2,NA,0
"September 18, 2021",VOC,weighted,7,BA.2,NA,0
"September 25, 2021",VOC,weighted,7,BA.2,NA,0
"October 2, 2021",VOC,weighted,7,BA.2,NA,0
"October 9, 2021",VOC,weighted,7,BA.2,NA,0
"October 16, 2021",VOC,weighted,7,BA.2,NA,0
"October 23, 2021",VOC,weighted,7,BA.2,NA,0
"October 30, 2021",VOC,weighted,7,BA.2,NA,0
"November 6, 2021",VOC,weighted,7,BA.2,NA,0
"November 13, 2021",VOC,weighted,7,BA.2,NA,0
"November 20, 2021",VOC,weighted,7,BA.2,NA,0
"November 27, 2021",VOC,weighted,7,BA.2,NA,0
"December 4, 2021",VOC,weighted,7,BA.2,NA,0
"December 11, 2021",VOC,weighted,7,BA.2,NA,0
"December 18, 2021",VOC,weighted,7,BA.2,NA,0
"December 25, 2021",VOC,weighted,7,BA.2,NA,0
"January 1, 2022",VOC,weighted,7,BA.2,NA,0
"January 8, 2022",VOC,weighted,7,BA.2,0.0-0.3%,0.000447146
"January 15, 2022",VOC,weighted,7,BA.2,0.0-0.3%,0.000808507
"January 22, 2022",VOC,weighted,7,BA.2,0.0-0.2%,0.000286101
"January 29, 2022",VOC,weighted,7,BA.2,0.1-0.5%,0.001989500
"February 5, 2022",VOC,weighted,7,BA.2,0.3-1.2%,0.006084937
"February 12, 2022",VOC,weighted,7,BA.2,0.6-2.8%,0.014111347
"February 19, 2022",VOC,weighted,7,BA.2,0.6-5.5%,0.021383252
"February 26, 2022",VOC,weighted,7,BA.2,2.6-10.0%,0.054441359
"March 5, 2022",VOC,weighted,7,BA.2,3.9-12.2%,0.072482437
"March 12, 2022",VOC,weighted,7,BA.2,10.0-23.9%,0.160763845
"March 19, 2022",VOC,weighted,7,BA.2,13.8-40.4%,0.254421592
"March 26, 2022",VOC,weighted,7,BA.2,24.5-44.5%,0.339865178
"April 2, 2022",VOC,weighted,7,BA.2,59.0-71.7%,0.655637145
"April 9, 2022",VOC,weighted,7,BA.2,47.4-76.5%,0.627543330
"April 16, 2022",VOC,weighted,7,BA.2,64.7-78.0%,0.717445612
"April 23, 2022",VOC,weighted,7,BA.2,41.3-86.0%,0.663006067
"May 8, 2021",VOC,weighted,7,BA.2.12.1,NA,0
"May 15, 2021",VOC,weighted,7,BA.2.12.1,NA,0
"May 22, 2021",VOC,weighted,7,BA.2.12.1,NA,0
"May 29, 2021",VOC,weighted,7,BA.2.12.1,NA,0
"June 5, 2021",VOC,weighted,7,BA.2.12.1,NA,0
"June 12, 2021",VOC,weighted,7,BA.2.12.1,NA,0
"June 19, 2021",VOC,weighted,7,BA.2.12.1,NA,0
"June 26, 2021",VOC,weighted,7,BA.2.12.1,NA,0
"July 3, 2021",VOC,weighted,7,BA.2.12.1,NA,0
"July 10, 2021",VOC,weighted,7,BA.2.12.1,NA,0
"July 17, 2021",VOC,weighted,7,BA.2.12.1,NA,0
"July 24, 2021",VOC,weighted,7,BA.2.12.1,NA,0
"July 31, 2021",VOC,weighted,7,BA.2.12.1,NA,0
"August 7, 2021",VOC,weighted,7,BA.2.12.1,NA,0
"August 14, 2021",VOC,weighted,7,BA.2.12.1,NA,0
"August 21, 2021",VOC,weighted,7,BA.2.12.1,NA,0
"August 28, 2021",VOC,weighted,7,BA.2.12.1,NA,0
"September 4, 2021",VOC,weighted,7,BA.2.12.1,NA,0
"September 11, 2021",VOC,weighted,7,BA.2.12.1,NA,0
"September 18, 2021",VOC,weighted,7,BA.2.12.1,NA,0
"September 25, 2021",VOC,weighted,7,BA.2.12.1,NA,0
"October 2, 2021",VOC,weighted,7,BA.2.12.1,NA,0
"October 9, 2021",VOC,weighted,7,BA.2.12.1,NA,0
"October 16, 2021",VOC,weighted,7,BA.2.12.1,NA,0
"October 23, 2021",VOC,weighted,7,BA.2.12.1,NA,0
"October 30, 2021",VOC,weighted,7,BA.2.12.1,NA,0
"November 6, 2021",VOC,weighted,7,BA.2.12.1,NA,0
"November 13, 2021",VOC,weighted,7,BA.2.12.1,NA,0
"November 20, 2021",VOC,weighted,7,BA.2.12.1,NA,0
"November 27, 2021",VOC,weighted,7,BA.2.12.1,NA,0
"December 4, 2021",VOC,weighted,7,BA.2.12.1,NA,0
"December 11, 2021",VOC,weighted,7,BA.2.12.1,NA,0
